類別,貨號,品名,積分額 SV,含稅價 DPT
茶類,109182,清蕪茶／茉莉(30包),1250,1460
粉末狀飲料,010004,珍語(30包),1290,1502
粉末狀飲料,100080,沛能／原味(30包),920,1082
粉末狀飲料,100083,沛能／綜合水果(30包),920,1082
粉末狀飲料,100085,沛能／草莓(30包),920,1082
粉末狀飲料,100111,沛能-D(30包),1110,1292
粉末狀飲料,100140,長新(30包),1550,1806
粉末狀飲料,100121,長新-D(30包),1670,1943
粉末狀飲料,100150,歡慶(30包),7160,8348
粉末狀飲料,100210,心醇(30包),1880,2184
粉末狀飲料,100281,歐葉(30包),2070,2415
粉末狀飲料,109061,清神茶(60包),1200,1397
粉末狀飲料,109250,多蔬彩(30包),1030,1197
粉末狀飲料,109260,優定-D(30包),1670,1943
粉末狀飲料,109270,津彩(30包),2780,3234
粉末狀飲料,109271,津彩樂(30包),2780,3234
粉末狀飲料,150010,丞燕E湯(30包),2530,2940
晶顏露,010001,活氧精萃晶顏露(30包),4160,4851
晶顏露,010006,活氧精萃晶顏露／玫瑰(30包),4160,4851
晶顏露,010051,晶顏露膠囊(100粒/瓶，2瓶裝),4160,4851
液態飲料,010005,趣感(200毫升/瓶，5瓶裝),2780,3245
液態飲料,809090,趣想(200毫升/瓶，5瓶裝),4400,5124
液態飲料,850011,交響樂/綜合水果(10毫升/包，20包裝),1800,2080
液態飲料,850021,交響樂/草莓(10毫升/包，20包裝),1800,2080
液態飲料,850031,交響樂/萊姆(10毫升/包，20包裝),1800,2080
液態飲料,850041,交響樂/金桔(10毫升/包，20包裝),1800,2080
液態飲料,850051,交響樂/桃子(10毫升/包，20包裝),1800,2080
液態飲料,850061,交響樂/茉莉(10毫升/包，20包裝),1800,2080
液態飲料,850071,交響樂/肉桂(10毫升/包，20包裝),1800,2080
液態飲料,850081,交響樂/薄荷(10毫升/包，20包裝),1800,2080
養生計劃,500120,養生計劃II(長新x1)(DNP養生膠囊組x1)(沛能／綜合水果X2),7580,8841
養生計劃,500122,養生計劃(心醇x1)(DNP養生膠囊組x1)(沛能／綜合水果X2),7900,9219
養生計劃,500123,養生計劃(清蕪茶茉莉x1)(DNP養生膠囊組x1)(沛能／綜合水果X2),7280,8495
歡悅計劃,500132,歡悅計劃(歡慶+紐益菇),16350,19068
禧悅計劃,500140,禧悅計劃(千禧飲料+紐益特),13740,16034
禧悅計劃,500150,禧悅金計劃(千禧金飲料+紐益特),14980,17472
食用油,600010,食用調合油(375毫升/瓶，2瓶裝),1216,1596
臉部清潔,010300,潔顏乳(100克),940,1103
臉部清潔,010305,保濕潔顏液(150毫升),1230,1433
臉部清潔,010306,柔潤潔面乳(100克),940,1103
臉部精華液,010200,活氧精萃(115毫升),2880,3360
臉部精華液,010211,菁元·水(150毫升),2410,2804
臉部精華液,011601,雨·精露(45毫升),2190,2552
臉部保養,010104,緊膚抗皺精華(30克),2880,3360
臉部保養,010113,保濕精萃油(30毫升),1510,1754
臉部保養,010204,活氧精萃珍珠精華(10毫升/支，3支裝),2880,3360
臉部保養,010800,玫瑰精萃彈力凝露(25克),1820,2111
臉部保養,010801,玫瑰精萃彈力精緻霜(25克),2460,2856
臉部保養,010803,玫瑰精萃彈力眼霜(25克),2750,3192
臉部保養,011001,仙人掌精萃活膚修復精華液(150毫升),2480,2888
臉部保養,011400,煥藻精華乳液(45克),2670,3119
臉部保養,011401,煥藻精華面膜(100克),1640,1911
臉部保養,011600,霧凝露(30毫升),1550,1806
臉部保養,011602,雷·漾霜(30克),1890,2205
臉部保養,018207,菁元·參精露(15毫升),1550,1806
臉部保養,018208,菁元·參潤乳(50毫升),2110,2457
臉部保養,018500,氧十(30毫升),1550,1806
紐益特,100100,紐益特(30包),5020,5849
紐益特,100101,紐益特2號(30包),5020,5849
紐益特,200120,紐益特膠囊(100粒),5020,5849
千禧,109230,千禧飲料(30包),4560,5313
千禧,109240,千禧金飲料(30包),5800,6752
千禧,809010,千禧泉(200毫升/瓶，5瓶裝),5040,5880
千禧,809011,千禧泉禮盒(200毫升/瓶，2瓶裝),2120,2470
千禧,809020,千禧泉2號(200毫升/瓶，5瓶裝),5040,5880
膠囊食品,200000,視景(60粒),1200,1397
膠囊食品,200010,康神(100粒),950,1124
膠囊食品,200020,思康(100粒),1420,1680
膠囊食品,200030,逍遙(100粒),770,914
膠囊食品,200040,風克(100粒),710,840
膠囊食品,200060,愛節(100粒),1420,1680
膠囊食品,200070,心環(100粒),710,840
膠囊食品,200100,愛特(100粒),1200,1397
膠囊食品,200110,珍圓(60粒),1420,1680
膠囊食品,200160,歐蜜籽(100粒),1350,1565
膠囊食品,200170,素健(100粒),1590,1848
膠囊食品,200180,G-愛節(100粒),1350,1565
膠囊食品,200190,美樂怡(100粒),1670,1943
膠囊食品,209200,E視(100粒),1520,1775
膠囊食品,209210,樂回憶(100粒),1400,1628
膠囊食品,209220,衡定-D(100粒),1400,1628
膠囊食品,917000,DNP養生膠囊組,4600,5355
早餐組,110000,早餐套組A(多蔬彩+優定-D),2560,2982
早餐組,110010,早餐套組B(多蔬彩+沛能(綜合水果)),1850,2163
早餐組,110020,早餐套組C(多蔬彩+丞燕E湯),3380,3927
牙膏,010604,亮白清爽牙膏(110克),430,504
個人護理,010603,抗菌洗手液(250毫升),790,924
個人護理,019114,清新抗菌身體紙巾(10張/包，2包裝),340,399
個人護理,030000,桂花油(5毫升/瓶，2瓶裝),530,614
個人護理,037005,桂花膏(6克/罐，6罐裝),1320,1544
臉部亮彩,010206,活氧精萃亮白乳液(30克),2200,2583
臉部亮彩,010207,活氧精萃亮膚霜(60克),1710,1995
肌膚防曬,010105,活氧精萃防曬隔離霜 SPF50 PA+++(30克),1710,1995
肌膚防曬,010108,陽光時刻防曬水凝乳 SPF50 ★★★(30毫升),1710,1995
肌膚防曬,010109,零毛孔無瑕隔離霜 SPF30 ★★★(30克),1450,1701
身體沐浴,010601,舒緩沐浴乳(300毫升),940,1103
身體沐浴,011222,強效賦活滋養沐浴乳(繽紛花漾)(200克),670,777
身體保養,010806,菁元素身體滋潤保濕霜(150克),1260,1470
身體保養,019805,玫瑰精萃護手霜(60克),1170,1344
頭髮洗護,010500,護色保濕洗髮精(300毫升),830,966
頭髮洗護,010504,去屑洗髮精(300毫升),940,1103
頭髮洗護,011220,極致頭皮&頭髮養護精華抗屑洗髮精(繽紛花漾)(200克),670,777
頭髮洗護,011221,高效保濕修護髮膜(繽紛花漾)(200克),670,777
頭髮洗護,010501,保濕護髮素(300毫升),940,1103
頭髮洗護,010704,氧+頭皮氧活(30毫升),1550,1806
染髮,010550,漾色染髮劑(深褐色)(60克/劑，2劑裝),940,1103
染髮,010552,漾色染髮劑(淺褐色)(60克/劑，2劑裝),940,1103
彩妝,020017,菁元素透亮蜜粉(8克),1350,1575
彩妝,020018,菁元素遮瑕膏(象牙白)(2.8克),846,987
彩妝,020019,菁元素遮瑕膏(淺米色)(2.8克),846,987
